8078,桃園書房
8079,東京化学同人
8080,東京学参
8081,東京教育情報センター
8082,東京教学社
8083,東京新聞出版局
8084,東京スポーツ新聞社出版部
8085,東京地図出版
8086,第三書房
8087,東京美術
8089,東京法経学院出版
8090,東京法令出版
8093,東方出版
8094,東邦出版
8095,東明社
8096,東洋出版
8099,図書出版社
8100,図書文化
8101,トッパン
8102,同学社
8103,同文書院
8104,同朋舎出版
8105,道和書院
8106,土木学会
8107,ドメス出版
8108,ドレミ楽譜出版社
8109,東京布井出版
8113,汐文社
8115,多賀出版
8117,大正出版
8118,太郎次郎社
8119,筑波書房
8120,土曜美術社出版販売
8121,泰流社
8122,昭和堂
8158,名古屋大学出版会
8159,永井書店
8160,永末書店
8161,永田書房
8162,永田文昌堂
8163,ナツメ社
8164,波書房
8165,南窓社
8166,梨の木舎
8167,西日本新聞社
8168,日栄社
8169,日外アソシエーツ
8170,日貿出版社
8171,日科技連出版社
8172,日刊スポーツ出版社
8173,日新出版
8174,日新報道
8175,日中出版
8176,二宮書店
8178,日本加除出版
8179,日本カメラ社
8180,日本看護協会出版会
8181,日本学術振興会
8182,日本棋院
8184,日本キリスト教団出版局
8185,日本経営者団体連盟出版部
8186,日本経営協会総合研究所
8187,日本経済通信社
8188,日本経済評論社
8189,日本建築学会
8190,日本工業出版
8191,日本工業新聞社
8192,日本公衆衛生協会
8193,日本国際問題研究所
8195,日本習字普及協会
8197,日本将棋連盟
8198,日本書館
8199,日本書籍
8201,生産性出版
8202,日本聖書協会
8203,日本テレビ
8204,日本図書館協会
8205,日本図書センター
8206,CS成長センター
8207,日本能率協会マネジメントセンター
8210,日本文化科学社
8211,ぶんか社
8212,日本文教出版
8216,ニュー・サイエンス社
8219,農業図書
8220,日本マンパワー出版
8221,野島出版
8222,日経BP社
8223,日本統計協会
8224,日本貿易振興会
8226,人間の科学社
8227,日経BP出版センター
8228,七つ森書館
8261,芳賀書店
8262,白凰社
8263,柏樹社
8265,批評社
8267,白眉学芸社
8268,博友社
8269,白揚社
8270,八曜社
8271,発明協会
8273,塙書房
8276,ぱるす出版
